month,day,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,1,,885859.647,830984.936,395001.141,617844.838,785068.17,451889.421,687021.006,613732.757,535119.569,,272716.092,422457.628,422299.485,471566.085,572865.14,599473.696,749042.574,302019.69,477824.949,505124.212,693667.836,346174.055,748626.619,596568.963,638091.097,614741.302,540844.961,337749.771,520638.533,415167.195,232515.89,436637.945,237530.237,549424.765,436928.513,225318.938,442155.934,387084.186,601314.59,336585.777,373276.896,448528.123,542270.991,518293.578,400972.117,558202.557
1,2,,967335.088,837147.377,406126.674,662181.372,775338.391,460832.674,719606.684,639211.529,567871.723,,282129.806,433328.427,421947.185,490825.516,592586.824,618119.956,772411.808,327862.589,483509.042,527995.425,695155.046,344789.755,757470.528,587419.574,648125.073,638292.276,562169.127,362428.554,538608.062,406026.122,223776.634,442967.798,276401.26,583282.845,455129.773,227104.74,456043.067,408755.926,625963.445,354925.428,398768.959,459239.409,549759.357,530784.476,426396.341,577939.57
1,3,,1016103.958,851318.278,450870.397,688939.917,744531.088,469544.52,761622.78,658217.737,598330.509,,294248.705,446213.546,418887.501,504840.728,608560.298,640676.393,791185.379,346412.064,485575.102,566098.484,697594.66,354509.288,751908.068,571029.771,667809.515,661162.67,583251.418,392619,556513.988,398372.451,228527.023,435672.626,315666.839,603474.976,475841.826,232778.304,473112.463,434088.753,655283.803,384473.339,420558.294,477210.753,565644.075,546264.032,448539.158,597026.778
1,4,,1052279.227,863448.481,493620.367,692609.419,726734.87,482783.164,786642.044,678735.921,624235.018,,314629.701,465136.913,411749.538,522689.719,622374.698,664853.241,809610.809,360109.624,480626.296,606684.455,695708.352,362375.209,748474.684,548052.938,682614.216,683502.582,606043.439,416799.566,571491.244,408556.809,243173.761,416615.544,353666.003,621251.426,496836.026,256909.826,484679.473,466010.858,688848.64,419045.886,444491.367,487771.809,582955.234,557366.769,460840.588,616388.431
1,5,,1127457.869,871259.486,506422.519,725401.432,734055.005,493989.816,810729.307,684570.536,654710.035,,341729.491,480829.334,400124.153,546230.026,637174.821,688383.303,830644.015,362955.831,483196.167,635003.048,698228.432,364981.739,743828.798,532969.33,704015.798,702151.138,631072.634,431471.735,592475.628,430533.819,259760.664,393115.636,391518.075,631022.36,521965.034,287371.487,496913.776,501180.803,716047.555,452602.585,471140.799,489516.367,599409.467,555745.485,465503.92,643511.189
1,6,,1146569.623,883270.789,536192.332,746376.889,715805.88,504287.773,832902.085,696234.96,667958.154,,364792.644,507785.752,400471.236,574633.855,643091.608,715142.349,852798.726,359071.323,487233.783,663868.067,707565.884,376514.452,758867.573,532513.843,713406.358,704948.074,652195.696,431911.93,615363.365,454609.605,279491.74,383778.219,421313.829,632641.865,553299.924,308978.633,506406.23,535314.405,726031.015,486584.244,498761.961,499168.133,621004.84,549018.003,461416.975,665215.343
1,7,,1154711.448,895028.86,553425.87,744138.113,727508.183,517072.07,856964.107,686527.89,685249.215,,394339.524,532503.168,400646.903,610979.628,652275.653,743898.426,867149.75,351576.365,498309.55,693078.917,713162.367,378744.084,790995.559,550815.223,728959.523,702099.871,678520.487,427628.669,651408.356,478401.788,301724.115,395660.606,454193.21,636205.043,579279.749,332305.107,508657.262,560621.684,739934.578,513234.628,529068.61,513627.361,644132.938,549210.248,465444.24,689331.728
1,8,,1141261.06,902713.25,559959.884,778568.131,749804.033,548467.624,867089.92,681676.758,725924.564,,422585.492,556432.86,397639.553,653501.151,666618.925,777776.333,880483.819,342571.138,518928.34,708849.085,721650.058,388336.657,837188.747,583713.019,733934.015,699415.973,692511.55,421844.578,681007.525,494377.85,320145.135,424657.266,482214.174,645332.707,597951.841,351959.391,503824.227,580216.041,748692.88,545659.631,563765.1,525907.238,660715.284,551862.167,484067.786,708236.102
1,9,,1149576.707,926220.551,571557.571,817877.985,748816.185,568071.21,882294.593,700163.881,750864.828,,457554.009,579720.467,403621.826,697194.599,686359.969,807400.251,893742.926,338517.19,548862.888,723946.39,727242.634,400617.91,879798.874,626203.462,744034.138,704423.043,697161.255,422914.193,697910.13,505775.702,344632.081,468037.251,510520.51,662716.211,617606.664,369698.38,501902.599,595265.295,749779.377,581292.868,596237.534,535781.087,678790.795,547018.792,516408.053,723180.908
1,10,,1169727.637,945890.079,591322.945,825999.37,748876.639,587428.662,894916.71,702125.937,753919.824,,492959.162,610455.644,414689.205,741103.854,708336.956,833142.27,882541.916,337547.445,579908.421,736681.222,717259.205,431891.437,915674.666,657415.172,761822.673,717957.405,689670.106,431438.993,697955.986,525225.611,370090.39,509661.619,530780.967,678049.644,638503.339,384802.825,497529.372,613707.815,758035.492,603369.982,619906.48,553090.748,701543.565,547156.928,549394.514,732137.691
